epoch,train_loss,val_acc,test_acc
188,0.756524,0.702492,0.707833
189,0.742598,0.705162,0.712061
190,0.739196,0.696484,0.703605
191,0.755631,0.700935,0.710503
192,0.732618,0.710058,0.714063
193,0.730687,0.702047,0.706275
194,0.745941,0.705385,0.703160
195,0.750903,0.708723,0.718514
196,0.725779,0.697597,0.704495
197,0.749736,0.710725,0.711838
198,0.742462,0.709835,0.714063
199,0.727426,0.700490,0.705830
200,0.729249,0.711838,0.716733
